This file introduces group of doctors with their details:
RyanKite and he has fees of 34 $ he is special in Lic Prof Counselor his working hours are: 8-14, he do his job in JOHNSON CITY\NGRAY
SpirosManolidis and he has fees of 52 $ he is special in OTO,HSS,N his working hours are: 10-15, he do his job in NEW YORK\NMANHATTAN\NNYC
Mario                    Sertich                             and he has fees of 20 $ he is special in Neurological Surgery his working hours are: 8-15, he do his job in ELYRIA\NN RIDGEVILLE\NNORTH RIDGEVILLE\NRIDGEVILLE\NSHEFFIELD VILLAGE\NSHEFFIELD VLG
Thomas                   Mezzetti                            and he has fees of 27 $ he is special in Pathology (hospital based) his working hours are: 10-14, he do his job in LEXINGTON
JAYMIDWALL and he has fees of 39 $ he is special in Specialist Cardiology his working hours are: 10-15, he do his job in LAKE WORTH\NATLANTIS\NHYPOLUXO\NLANTANA\NMANALAPAN
SudhamChand and he has fees of 22 $ he is special in Hospital Based Physician (Other) his working hours are: 10-16, he do his job in CINCINNATI
Heather                  Alder                               and he has fees of 51 $ he is special in Nurse Practitioner his working hours are: 8-15, he do his job in GREENFIELD\NEDEN\NGEM
AtibaCallins and he has fees of 61 $ he is special in Physical Therapy his working hours are: 9-16, he do his job in BIRMINGHAM\NMEADOWBROOK\NSHOAL CREEK\NVESTAVIA\NVESTAVIA HILLS\NVESTAVIA HLS
Regine                   Politte                             and he has fees of 56 $ he is special in Nurse Practitioner his working hours are: 10-16, he do his job in SAINTE GENEVIEVE\NCLEARWATER\NCOFFMAN\NLAKE FOREST\NNEW OFFENBURG\NROCKY RIDGE\NSTE GENEVIEVE\NWEING
StacieWier and he has fees of 31 $ he is special in MEDICAL PRACTITIONERS Certified Nurse Practitioner his working hours are: 10-14, he do his job in LOCKPORT\NPENDLETON
PaulaCasey and he has fees of 42 $ he is special in Pediatric Critical Care his working hours are: 10-15, he do his job in FENTON\NMURPHY
PaulaCasey and he has fees of 57 $ he is special in nan his working hours are: 8-14, he do his job in FENTON\NMURPHY
DavidWright and he has fees of 27 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 8-15, he do his job in KINSTON
BradfordHsu and he has fees of 65 $ he is special in GS,OSH his working hours are: 10-14, he do his job in CHULA VISTA
StephenSolomon and he has fees of 67 $ he is special in Radiology-Diagnostic his working hours are: 10-14, he do his job in GREENBELT
Susan                    Murphy                              and he has fees of 49 $ he is special in Pediatric Hematology-Oncology his working hours are: 8-15, he do his job in NEW BRUNSWICK
BhaskarGundabolu and he has fees of 48 $ he is special in END,IM his working hours are: 10-16, he do his job in TOLEDO\NOTTAWA HILLS
ShawnaRinker and he has fees of 37 $ he is special in Hospital Based Physician (Other) his working hours are: 10-14, he do his job in NEWPORT BEACH
CaralynnFelege and he has fees of 52 $ he is special in Physical Therapy his working hours are: 8-15, he do his job in FORT WORTH\NFT WORTH\NHALTOM CITY
MichelleEvanko and he has fees of 63 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 10-15, he do his job in MOUNT ORAB\NBARDWELL\NFIVE MILE
WasimEllahi and he has fees of 41 $ he is special in Specialist Gastroenterology his working hours are: 10-15, he do his job in PEORIA
ZhiqiangZhang and he has fees of 42 $ he is special in Specialist Nephrology his working hours are: 10-15, he do his job in DUBLIN\NLOLLIE
DavidHowell and he has fees of 23 $ he is special in Pathology his working hours are: 10-15, he do his job in MORGANTOWN\NCHEAT LAKE
Satyen                   Gada                                and he has fees of 38 $ he is special in Allergy & Immunology;Pediatrics his working hours are: 9-15, he do his job in VIENNA
AmyVu and he has fees of 45 $ he is special in Non Physician - Physician Assistant his working hours are: 10-15, he do his job in LA MESA
KirkPuttlitz and he has fees of 32 $ he is special in Physical Medicine & Rehabilitation his working hours are: 10-16, he do his job in SUN CITY
StephanieBien and he has fees of 23 $ he is special in Social Worker his working hours are: 8-14, he do his job in AGOURA HILLS\NAGOURA\NCALABASAS\NCALABASAS HILLS\NCALABASAS HLS\NCORNELL\NOAK PARK\NSARATOGA HILLS\N
EricMcpherson and he has fees of 42 $ he is special in Professional Counselor his working hours are: 10-16, he do his job in SAINT LOUIS
JonathanSeabrook and he has fees of 41 $ he is special in Non Physician - Physician Assistant his working hours are: 9-16, he do his job in MUKILTEO
GeoffreyMills and he has fees of 31 $ he is special in Dentists General Dentist his working hours are: 9-15, he do his job in MOUNT WASHINGTON\NMT WASHINGTON
MarkGazall and he has fees of 64 $ he is special in Surgery - Vascular his working hours are: 10-14, he do his job in DAYTON
MarkGazall and he has fees of 48 $ he is special in General Practice his working hours are: 9-16, he do his job in DAYTON
DUSTINHICKMAN and he has fees of 32 $ he is special in Dentists General Dentist his working hours are: 9-15, he do his job in MELBOURNE\NSUNTREE\NVIERA
JennyGuest and he has fees of 45 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 8-16, he do his job in COLUMBUS\NLINCOLN VILLAGE FIN UNIT\NNEW ROME
NabeelFarooqui and he has fees of 55 $ he is special in Internal Medicine his working hours are: 10-15, he do his job in INDIANAPOLIS
NabeelFarooqui and he has fees of 26 $ he is special in Allergy Immunology his working hours are: 9-15, he do his job in INDIANAPOLIS
RobertMoore and he has fees of 31 $ he is special in Foot & Ankle Surgery his working hours are: 10-16, he do his job in HOUSTON
DoyunPark                                and he has fees of 31 $ he is special in Hematology his working hours are: 9-16, he do his job in NEW YORK\NMANHATTAN\NNYC
Sherry                   Ringuette                           and he has fees of 44 $ he is special in Physical Therapy his working hours are: 9-16, he do his job in COLCHESTER
RobertRaish and he has fees of 59 $ he is special in Hematology;Internal Medicine his working hours are: 10-14, he do his job in SEDRO WOOLLEY
StephanieHeinlen and he has fees of 53 $ he is special in Diagnostic Radiology his working hours are: 8-15, he do his job in GRUNDY CENTER
JohnNolan and he has fees of 45 $ he is special in Physical Medicine his working hours are: 9-15, he do his job in LUMBERTON\NLUMBERTON TOWNSHIP\NLUMBERTON TWP
JohnNolan and he has fees of 22 $ he is special in Surgery, Orthopedic his working hours are: 8-16, he do his job in LUMBERTON\NLUMBERTON TOWNSHIP\NLUMBERTON TWP
DaleCurtis and he has fees of 30 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 9-14, he do his job in CINCINNATI\NOAKLEY
DavidCanal and he has fees of 49 $ he is special in General Surgery his working hours are: 10-15, he do his job in CHICAGO
JaredGibb and he has fees of 43 $ he is special in Physical Therapy his working hours are: 9-15, he do his job in NAPERVILLE
JamesonRiner and he has fees of 60 $ he is special in Physical Therapy his working hours are: 9-16, he do his job in CHATTANOOGA\NEAST RIDGE
StephanieBurger and he has fees of 34 $ he is special in Otolaryngology his working hours are: 9-15, he do his job in SIOUX CENTER\NLEBANON
HieuTuong and he has fees of 28 $ he is special in Primary Care Physicians Internal Medicine his working hours are: 8-15, he do his job in TUCSON
DouglasPope and he has fees of 47 $ he is special in XNF,XNP his working hours are: 9-16, he do his job in PHOENIX
GregoryOuligian and he has fees of 53 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 10-15, he do his job in Hanford
MalcolmWilliams and he has fees of 56 $ he is special in Anesthesiology his working hours are: 10-14, he do his job in CITYWIDE
KarlFrey and he has fees of 33 $ he is special in Dentist his working hours are: 9-15, he do his job in ADAMS GARDENS\NARROYO\NAVONDALE\NHGN\NKAYARE\NPRIMERA\NSTUART PLACE\NHARLINGEN
MarcelleMahan and he has fees of 50 $ he is special in Hospital Based Physician (Emergency Room) his working hours are: 9-14, he do his job in SAN BERNARDINO\NDEL ROSA
MadelynLipman and he has fees of 45 $ he is special in Specialist Dermatology his working hours are: 10-14, he do his job in FORT LAUDERDALE\NLAUDER HILL\NLAUDERHILL\NLDHL\NSUNRISE\NTAMARAC
WilliamRussell and he has fees of 23 $ he is special in Hospital Based Physician (Radiology) his working hours are: 10-16, he do his job in SANTA BARBARA\NGOLETA
AvinashPatil and he has fees of 34 $ he is special in EM,EMH his working hours are: 9-14, he do his job in CLYDE\NCONCORD
ThomasSorensen and he has fees of 29 $ he is special in Pediatric Dentistry his working hours are: 8-16, he do his job in S SALT LAKE\NSO SALT LAKE\NSSL\NSALT LAKE CITY
BrianHoover and he has fees of 43 $ he is special in Behavioral Health and Social Service Providers Professional Counselor his working hours are: 10-14, he do his job in FORT LAUDERDALE
ScottHager and he has fees of 31 $ he is special in Dentists General Dentist his working hours are: 8-15, he do his job in SPOKANE\NSUNSET HILL
SyedHasan and he has fees of 34 $ he is special in Internal Medicine his working hours are: 10-16, he do his job in DOVER\NLEIPSIC
CarolynStephens and he has fees of 31 $ he is special in Counselor his working hours are: 10-14, he do his job in HINTON\NBROOKS\NTRUE
BrianChabot and he has fees of 52 $ he is special in Physical Therapy his working hours are: 9-14, he do his job in GREENVILLE
Terry                    Shi                                 and he has fees of 29 $ he is special in Podiatric Medicine his working hours are: 10-16, he do his job in Glendale
K.Malone and he has fees of 23 $ he is special in Physical Medicine & Rehabilitation his working hours are: 8-16, he do his job in WARNER ROBINS
AliBamdad and he has fees of 64 $ he is special in Chiropractor his working hours are: 9-16, he do his job in SOUTH SAN FRANCISCO\NSOUTH SAN FRANCISCO\NSOUTH SAN FRANCISCO\NSOUTH SAN FRANCISCO
MitchellRauch and he has fees of 36 $ he is special in U,FP his working hours are: 10-15, he do his job in STUART
CharlesSabourin and he has fees of 49 $ he is special in Chiropractic his working hours are: 9-16, he do his job in NASHVILLE
DianaCollins and he has fees of 32 $ he is special in Non Physician - Nursing Related his working hours are: 9-15, he do his job in LAKE CITY
DanielSaviano and he has fees of 49 $ he is special in Internal Medicine his working hours are: 9-14, he do his job in ADJUNTAS\NJARD DE ADJUNTAS\NURB SAN JOAQUIN
KerryFiala and he has fees of 39 $ he is special in Occupational Therapist his working hours are: 9-14, he do his job in CHICAGO
BrandonUgolini and he has fees of 50 $ he is special in Counselor his working hours are: 9-15, he do his job in ADJUNTAS\NJARD DE ADJUNTAS\NURB SAN JOAQUIN
AlisonRussell and he has fees of 50 $ he is special in Physical Therapy his working hours are: 9-16, he do his job in PHOENIX
